question_id	chapter_id	difficulty	tex	created_at
MI1026-1-1	MI1026-1	easy	"Câu 1 (1?). Tính th? tích c?a hình h?p xác ??nh b?i ba vect? $\vec{a}=$ $(1,2,3), \vec{b}=(1,1,2)$ và $\vec{c}=(2,1,4)$."	
MI1026-1-2	MI1026-1	easy	"Câu 2 (2?). Tìm v?n t?c, gia t?c và t?c ?? t?i $t=0$ c?a m?t ch?t ?i?m chuy?n ??ng xác ??nh b?i hàm vect? $\stackrel{\rightharpoonup}{r}(t)=\left(e^{\sin t}, \arctan t, t\right)$."	
MI1026-2-1	MI1026-2	easy	"Câu 3 (2?). Tính các tích phân sau.
(a) $\iint_D x d x d y$, trong ?ó $D$ là mi?n b? ch?n b?i $x=y^2$ và $x=1$.
(b) $\iiint_V\left(x^2+y^2\right) d x d y d z$, trong ?ó $V$ là mi?n v?t th? b? ch?n b?i $z=x^2+y^2$ và $z=\sqrt{2-x^2-y^2}$."	
MI1026-3-1	MI1026-3	medium	Câu 4 ( $1 ?$ ). Tính di?n tích c?a ph?n m?t ph?ng $2 x+y+z=1$ n?m trong m?t tr? $x^2+y^2=1$.	
MI1026-4-1	MI1026-4	medium	"Câu 5 (1?). Tính $\int_C y d x-x d y$, trong ?ó $C$ bao g?m cung nh? c?a ???ng tròn $x^2+y^2=4$ t? $(2,0)$ ??n $(0,2)$ và ?o?n th?ng t? $(0,2)$ ??n $(4,3)$."	
MI1026-5-1	MI1026-5	medium	Câu 6 (1?). Cho tr??ng vect? $\vec{F}=\left(2 x+e^x \sin y\right) \vec{i}+$ $\left(e^x \cos y+e^y z+3 y^2 z\right) \vec{j}+\left(e^y+y^3\right) \vec{k}$. Tính curl $\vec{F}$ và div $\vec{F}$.	
MI1026-6-1	MI1026-6	hard	"Câu 7 (1?). Tìm kh?i l??ng c?a m?t cong $S$ xác ??nh b?i các ph??ng trình tham s? $x=u v, y=u+v, z=u-v$, trong ?ó $u^2+v^2 \leq 1$ và $u \geq 0$, v?i hàm m?t ?? $\rho(x, y, z)=y^2+z^2$."	
MI1026-6-2	MI1026-6	hard	"Câu 8 (1?). Tính $\iint_S x^3 y d y d z-x^2 y^2 d z d x-x^2 y z d x d y$, trong ?ó $S$ là ph?n m?t nón $z=\sqrt{x^2+y^2}, 0 \leq z \leq 1$, v?i ??nh h??ng ra ngoài."	
MI1026-1-3	MI1026-1	easy	"Câu 1 (1?). Tính th? tích c?a hình h?p xác ??nh b?i ba vect? $\vec{a}=$ $(1,2,3), \vec{b}=(2,1,2)$ và $\vec{c}=(2,1,4)$."	
MI1026-1-4	MI1026-1	easy	"Câu 2 ( 2 ?). Tìm v?n t?c, gia t?c và t?c ?? t?i $t=0$ c?a m?t ch?t ?i?m chuy?n ??ng xác ??nh b?i hàm vect? $\dot{r}(t)=\left(e^{\cos t}, \arctan t, t\right)$."	
MI1026-2-2	MI1026-2	easy	"Câu 3 (2?). Tính các tích phân sau.
(a) $\iint_D y d x d y$, trong ?ó $D$ là mi?n b? ch?n b?i $y=x^2$ và $y=1$.
(b) $\iiint_V\left(x^2+y^2\right) d x d y d z$, trong ?ó $V$ là mi?n v?t th? b? ch?n b?i $z=x^2+y^2$ và $z=\sqrt{6-x^2-y^2}$."	
MI1026-3-2	MI1026-3	medium	Câu 4 ( 1 d ). Tính di?n tích c?a ph?n m?t ph?ng $x+2 y+z=2$ n?m trong m?t tr? $x^2+y^2=1$.	
MI1026-4-2	MI1026-4	medium	"Câu 5 (1?). Tính $\int_C y d x-x d y$, trong ?ó $C$ bao g?m cung nh? c?a ???ng tròn $x^2+y^2=1$ t? $(1,0)$ ??n $(0,1)$ và ?o?n th?ng t? $(0,1)$ d?n $(4,3)$."	
MI1026-5-2	MI1026-5	medium	Câu 6 (1?). Cho tr??ng vect? $\vec{F}=\left(2 x+e^x \sin y\right) \vec{i}+$ $\left(e^x \cos y+e^y z+3 y^2 z\right) \vec{j}+\left(e^y+y^3+1\right) \vec{k}$. Tính curl $\vec{F}$ và div $\vec{F}$.	
MI1026-6-3	MI1026-6	hard	"Câu 7 (1?). Tìm kh?i l??ng c?a m?t cong $S$ xác ??nh b?i các ph??ng trình tham s? $x=u v, y=u+v, z=u-v$, trong ?ó $u^2+v^2 \leq 1$ và $v \geq 0$, v?i hàm m?t ?? $\rho(x, y, z)=y^2+z^2$."	
MI1026-6-4	MI1026-6	hard	"Câu 8 (1?). Tính $\iint_S x^3 y d y d z-x^2 y^2 d z d x-x^2 y z d x d y$, trong ?ó $S$ là ph?n m?t nón $z=\sqrt{x^2+y^2}, 0 \leq z \leq 2$, v?i ??nh h??ng ra ngoài."	
MI1026E-1-1	MI1026E-1	easy	"Question 1 (1pt). Find the volume of the parallelepiped determined by the vectors $\vec{a}=(1,2,3), \vec{b}=(1,1,2)$ and $\vec{c}=(2,1,4)$."	
MI1026E-1-2	MI1026E-1	easy	"Question 2 (2pts). Let $\vec{r}(t)=\left(e^{\sin t}, \arctan t, t\right)$ be the position vector of a particle. Find its velocity vector, acceleration vector and speed at $t=0$."	
MI1026E-2-1	MI1026E-2	easy	"Question 3 (2pts). Evaluate the following integrals.
(a) $\iint_D x y d x d y$, where $D$ is bounded by $x=y^2$ and $x=1$.
(b) $\iiint_V\left(x^2+y^2\right) d x d y d z$, where $V$ is a solid bounded by $z=x^2+y^2$ and $z=\sqrt{2-x^2-y^2}$."	
MI1026E-3-1	MI1026E-3	medium	Question 4 (1pt). Find the area of the part of the plane $2 x+y+z=$ 1 that lies inside the cylinder $x^2+y^2=1$.	
MI1026E-4-1	MI1026E-4	medium	"Question 5 (1pt). Evaluate $\int_C y d x-x d y$, where $C$ consists of the small arc of the circle $x^2+y^2=4$ from $(2,0)$ to $(0,2)$ and the segment from $(0,2)$ to $(4,3)$."	
MI1026E-5-1	MI1026E-5	medium	Question 6 (1pt). Given a vector field $\vec{F}=\left(2 x+e^x \sin y\right) \vec{i}+$ $\left(e^x \cos y+e^y z+3 y^2 z\right) \vec{j}+\left(e^y+y^3\right) \vec{k}$. Calculate $\operatorname{curl} \vec{F}$ and $\operatorname{div} \vec{F}$.	
MI1026E-6-1	MI1026E-6	hard	"Question 7 (1pt). Find the mass of the surface $S$ determined by the parametric equations $x=u v, y=u+v, z=u-v$, where $u^2+v^2 \leq 1$ and $u \geq 0$, with the density $\rho(x, y, z)=y^2+z^2$."	
MI1026E-6-2	MI1026E-6	hard	"Question 8 (1pt). Evaluate $\iint_S x^3 y d y d z-x^2 y^2 d z d x-x^2 y z d x d y$, where $S$ is a part of the cone $z=\sqrt{x^2+y^2}, 0 \leq z \leq 1$ with outward orientation."	
MI1026E-1-3	MI1026E-1	easy	"Question 1 (1pt). Find the volume of the parallelepiped determined by the vectors $\vec{a}=(1,2,3), \vec{b}=(2,1,2)$ and $\vec{c}=(2,1,4)$."	
MI1026E-1-4	MI1026E-1	easy	"Question 2 (2pts). Let $\vec{r}(t)=\left(e^{\cos t}, \arctan t, t\right)$ be the position vector of a particle. Find its velocity vector, acceleration vector and speed at $t=0$."	
MI1026E-2-2	MI1026E-2	easy	"Question 3 (2pts). Evaluate the following integrals.
(a) $\iint_D y d x d y$, where $D$ is bounded by $y=x^2$ and $y=1$.
(b) $\iiint_V\left(x^2+y^2\right) d x d y d z$, where $V$ is a solid bounded by $z=x^2+y^2$ và $z=\sqrt{6-x^2-y^2}$."	
MI1026E-3-2	MI1026E-3	medium	Question 4 (1pt). Find the area of the part of the plane $x+2 y+z=$ 2 that lies inside the cylinder $x^2+y^2=1$.	
MI1026E-4-2	MI1026E-4	medium	"Question 5 (1pt). Evaluate $\int_C y d x-x d y$, where $C$ consists of the small arc of the circle $x^2+y^2=1$ from $(1,0)$ to $(0,1)$ and the segment from $(0,1)$ to $(4,3)$."	
MI1026E-5-2	MI1026E-5	medium	Question 6 (1pt). Given a vector field $\vec{F}=\left(2 x+e^x \sin y\right) \vec{i}+$ $\left(e^x \cos y+e^y z+3 y^2 z\right) \vec{j}+\left(e^y+y^3+1\right) \vec{k}$. Calculate curl $\vec{F}$ and $\operatorname{div} \vec{F}$.	
MI1026E-6-3	MI1026E-6	hard	"Question 7 (1pt). Find the mass of the surface $S$ determined by the parametric equations $x=u v, y=u+v, z=u-v$, where $u^2+v^2 \leq 1$ and $v \geq 0$, with the density $\rho(x, y, z)=y^2+z^2$."	
MI1026E-6-4	MI1026E-6	hard	"Question 8 (1pt). Evaluate $\iint_S x^3 y d y d z-x^2 y^2 d z d x-x^2 y z d x d y$, where $S$ is a part of the cone $z=\sqrt{x^2+y^2}, 0 \leq z \leq 2$ with outward orientation."	
MI2026-1-1	MI2026-1	easy	"Bài 1: (1.5 ?i?m) Gi? s? các ""h?p ?en"" c?a máy bay ???c s?n xu?t b?i 3 công ty: AirCorp, BigSkies và CharterUS - v?i t? l? l?n l??t là $55 \%, 25 \%$ và $20 \%$. Bi?t r?ng t? l? h?p ?en b? l?i do AirCorp, BigSkies và CharterUS s?n xuât l?n l??t là $4 \%, 6 \%$ và $9 \%$. M?t h?p ?en ???c ch?n ng?u nhiên và bi?t r?ng nó ???c phát hi?n là b? l?i. H?y tính xác su?t nó do công ty AirCorp s?n xu?t."	
MI2026-2-1	MI2026-2	easy	"Bài 2: (2.0 ?i?m) Cho ( $\mathrm{X}, \mathrm{Y}$ ) là véct? ng?u nhiên liên t?c v?i hàm m?t ?? xác su?t ??ng th?i cho b?i nh? sau:

$$
f(x, y)=\left\{\begin{array}{l}
24 x y \text { n?u } x>0, y>0 \text { và } x+y<1, \\
0 \text { n?u trái l?i. }
\end{array}\right.
$$


Hãy tính h? s? t??ng quan gif?a X và Y . Hai bi?n X và Y có ??c l?p không?"	
MI2026-3-1	MI2026-3	medium	"Bài 3: (2.0 ?i?m) Các công ty b?o hi?m th??ng quan tâm ??n t? l? ph?n tr?m ng??i lái xe luôn th?t dây an toàn tr??c khi lái xe. H? kh?o sát ng?u nhiên 400 tài x? và phát hi?n ra r?ng 320 ng??i kh?ng ??nh h? luôn th?t dây an toàn.
a) H?y tìm ??c l??ng ?i?m c?a t? l? (p) các lái xe luôn th?t dây an toàn b?ng ph??ng pháp h?p lý c?c ??i.
b) Tìm kho?ng ??c l??ng ??i x?ng cho t? l?p v?i ?? tin c?y $90 \%$."	
MI2026-4-1	MI2026-4	medium	"Bài 4: (2.0 ?i?m) Hàm l??ng oxy hòa tan trong n??c sông ???c ?o ?? xác ??nh xem có ?? oxy trong n??c ?? h? tr? ??i s?ng th?y sinh hay không. M?t thanh tra môi tr??ng nghi ng? r?ng m?t c?ng ??ng ven sông ?ang th?i m?t l??ng n??c th?i ?ã qua x? lý vào sông. Ông ?ã l?y ng?u nhiên 10 m?u n??c sông ? v? trí phía trên th? tr?n và 10 m?u khác ? phía d??i th? tr?n. Ch? s? oxy hòa tan (tính b?ng ph?n tri?u) ???c ghi l?i nh? sau:

Phía d??i: 5.0, 4.7, 4.9, 4.8, 4.9, 4.8, 4.7, 5.0, 4.8, 4.8
Phía trên: 4.8, 5.2, 5.0, 4.9, 5.1, 5.1, 4.9, 4.9, 5.4, 5.0
D? li?u có cung c?p ?? b?ng ch?ng ?? ch? ra r?ng hàm l??ng oxy trung bình bên ???i th? tr?n th?p h?n hàm l??ng oxy trung bình ? phía trên th? tr?n ? m?c ý ngh?a $5 \%$ hay không? Gi? s? h?m l??ng oxy c?a n??c sông bên d??i và bên trên th? tr?n c? phân ph?i chu?n v?i ph??ng sai b?ng nhau."	
MI2026-5-1	MI2026-5	hard	"Bài 5: (2.5 ?i?m) M?t nghiên c?u v? m?i quan h? gi?a l??ng ???ng chuy?n hóa $(Y)$ trong m?t quy trình nh?t ??nh ? các m?c nhi?t ?? khác nhau ( $X$ ). D? li?u ???c mã hóa và ghi l?i nh? sau:
\begin{tabular}{|c|c|c|c|c|c|c|c|c|c|c|}
\hline$X$ & 1.0 & 1.1 & 1.2 & 1.3 & 1.4 & 1.5 & 1.6 & 1.7 & 1.8 & 1.9 \\
\hline$Y$ & 8.1 & 7.8 & 8.5 & 9.8 & 9.5 & 8.9 & 8.6 & 10.2 & 9.3 & 9.2 \\
\hline
\end{tabular}
a) Tìm ph??ng trình ???ng h?i quy th?c nghi?m c?a Y theo X .
b) H?y ki?m ??nh v? h? s? góc c?a ???ng h?i quy ?? xem có m?i quan h? tuy?n tính d??ng gi?a Y và X ? m?c ý ngh?a $5 \%$ hay không.

$$
\begin{aligned}
& \text { Cho bi?t: } \Phi(1.28)=0.9 ; \Phi(1.645)=0.95 ; \Phi(1.96)=0.975 \text { v?i } \Phi(z)=\int_{-\infty}^z \frac{1}{\sqrt{2 \pi}} e^{-x^2 / 2} d x \text { và } \\
& t_{18 ; 0.05}=1.734 ; t_{18 ; 0.025}=2.1 ; t_{8 ; 0.05}=1.86 ; t_{8 ; 0.025}=2.31
\end{aligned}
$$"	
MI2026-1-2	MI2026-1	easy	"Bài 1: (1.5 ?i?m) Gi? s? các ""h?p ?en"" c?a máy bay ???c s?n xu?t b?i 3 công ty: AirCorp, BigSkies và CharterUS - v?i t? l? l?n l??t là $45 \%, 25 \%$ và $30 \%$. Bi?t r?ng t? l? h?p ?en b? l?i do AirCorp, BigSkies và CharterUS s?n xu?t l?n l??t là $4 \%, 6 \%$ và $8 \%$. M?t h?p ?en ???c ch?n ng?u nhiên và bi?t r?ng nó ???c phát hi?n là b? l?i. Hãy tính xác su?t nó do công ty BigSkies s?n xu?t."	
MI2026-2-2	MI2026-2	easy	"Bài 2: (2.0 ?i?m) Cho ( $\mathrm{X}, \mathrm{Y}$ ) là véct? ng?u nhiên liên t?c v?i hàm m?t ?? xác su?t ??ng th?i cho b?i nhur sau:

$$
f(x, y)=\left\{\begin{array}{l}
\frac{3}{2} x y \text { n?u } x>0, y>0 \text { và } x+y<2 \\
0 \text { n?u trái l?i. }
\end{array}\right.
$$


H?y tính h? s? t??ng quan gi?a X và Y . Hai bi?n X và Y có ??c l?p không?:"	
MI2026-3-2	MI2026-3	medium	"Bài 3: (2.0 ?i?m) Các công ty b?o hi?m th??ng quan tâm ??n t? l? ph?n tr?m ng??i lái xe luôn th?t dây an to?n tr??c khi lái xe. H? kh?o sát ng?u nhiên 500 tài x? và phát hi?n ra r?ng 420 ng??i kh?ng ??nh h? luôn th?t dây an toàn.
a) H?y tìm ??c l??ng ?i?m c?a t? l? (p) các lái xe luôn th?t dây an toàn b?ng ph??ng pháp h?p lý ç?c ?ai.
b) Tìm kho?ng ??c l??ng ??i x?ng cho t? l? $p$ v?i ?? tin c?y $95 \%$."	
MI2026-4-2	MI2026-4	medium	"Bài 4: (2.0 ?i?m) Hàm l??ng oxy hòa tan trong n??c sông ???c ?o ?? xác ??nh xem có ?? oxy trong n??c ?? h? tr? ??i s?ng th?y sinh hay không. M?t thanh tra môi tr??ng nghi ng? r?ng m?t c?ng ??ng ven sông ?ang th?i m?t l??ng n??c th?i ?ã qua x? lý vào sông. Ông ?ã l?y ng?u nhiên 10 m?u n??c sông ? v? trí phía trên th? tr?n và 10 m?u khác ? phía d??i th? tr?n. Ch? s? oxy hòa tan (tính b?ng ph?n tri?u) ???c ghi l?i nh? sau:

Phía d??i: 5.1, 4.8, 5.0, 4.9, 5.0, 4.9, 4.8, 5.1, 4.9, 4.9
Phía trên: 4.9, 5.3, 5.1, 5.0, 5.2, 5.2, 5.0, 5.0, 5.5, 5.1
D? li?u có cung c?p ?? b?ng ch?ng ?? ch? ra r?ng hàm l??ng oxy trung bình bên ???i th? tr?n th?p h?n hàm l??ng oxy trung bình ? phía trên th? tr?n ? m?c ý ngh?a $5 \%$ hay không? Gi? s? hàm l??ng oxy c?a n??c sông bên d??i và bên trên th? tr?n có phân ph?i chu?n v?i ph??ng sai b?ng nhau."	
MI2026-5-2	MI2026-5	hard	"Bài 5: (2.5 ?i?m) M?t nghiên c?u v? m?i quan h? gi?a l??ng ???ng chuy?n hóa $(Y)$ trong m?t quy trình nh?t ??nh ? các m?c nhi?t ?? khác nhau $(X)$. D? li?u ???c mã hóa và ghi l?i nh? sau:
\begin{tabular}{|c|c|c|c|c|c|c|c|c|c|c|}
\hline$X$ & 1.1 & 1.2 & 1.3 & 1.4 & 1.5 & 1.6 & 1.7 & 1.8 & 1.9 & 2.0 \\
\hline$Y$ & 8.0 & 7.7 & 8.4 & 9.7 & 9.4 & 8.8 & 8.5 & 10.1 & 9.2 & 9.1 \\
\hline
\end{tabular}
a) Tìm ph??ng trình ???ng h?i quy th?c nghi?m c?a Y theo X .
b) Hãy ki?m ??nh v? h? s? góc c?a ???ng h?i quy ?? xem có m?i quan h? tuy?n tính d??ng gi?a Y và $X$ ? m?c ý ngh?a $5 \%$ hay không.
Cho biêt: $\Phi(1.28)=0.9 ; \Phi(1.645)=0.95 ; \Phi(1.96)=0.975$ v?i $\Phi(z)=\int_{-\infty}^z \frac{1}{\sqrt{2 \pi}} e^{-x^2 / 2} d x$ và $t_{18 ; 0.05}=1.734 ; t_{18 ; 0.025}=2.1 ; t_{8 ; 0.05}=1.86 ; t_{8 ; 0.025}=2.31$."	
MI2036E-1-1	MI2036E-1	easy	"Question 1 (2.0 points) In a particular airport, $n$ radar stations operate independently of each other. The probability that a single radar station will detect an arriving airplane is 0.55 .
(a) If six radar stations are in use ( $n=6$ ), calculate the probability that an arriving airplane will be detected by at most two radar stations.
(b) What is the smallest number $n$ of radar stations that must be installed if the probability that an arriving airplane will be detected by at least one radar station is not less than 0.98 ."	
MI2036E-2-1	MI2036E-2	medium	"Question 2 ( 2.0 points) A local fire station receives on average $\lambda$ rescue telephone calls per day. Assume that the number of these calls in a day has a Poisson distribution. The probability that the local fire station receives at least one rescue telephone call in a day is 0.713495 .
(a) Find the parameter $\lambda$.
(b) Find the probability that the local fire station will receive fewer than three rescue telephone calls over the next four days."	
MI2036E-3-1	MI2036E-3	medium	"Question 3 ( 3.0 points) The joint probability density function of two continuous random variables $X$ and $Y$ is given by

$$
f_{X, Y}(x, y)= \begin{cases}k x y, & \text { if } 0<x<3,0<y<x \\ 0, & \text { otherwise }\end{cases}
$$

(a) Find the constant $k$.
(b) Find $P(X<1, Y<2)$.
(c) Find $\widehat{y}_M(x)$, the minimum mean square error estimate of $Y$ given $X=x, 0<x<3$."	
MI2036E-4-1	MI2036E-4	hard	"Question 4 (3.0 points) The duration of a voice telephone call is an exponential random variable with expected value of 5 minutes. The duration of a data call is an exponential random variable with expected value of 8 minutes. The null hypothesis of a binary hypothesis test is $H_0$ ""a call is a voice call"". The alternative hypothesis is $H_1$ ""a call is a data call"". The probability of a voice call is $P\left(H_0\right)=0.8$ and the probability of a data call is $P\left(H_1\right)=0.2$. Assume that the cost of a false alarm is $C_{10}=5$ units and the cost of a miss is $C_{01}=8$ units. A binary hypothesis test measures $T$ minutes, the duration of a call. Based on the observation of $T$,
(a) What are $f_{T \mid H_0}(t)$ and $f_{T \mid H_1}(t)$, the likelihood functions of $T$ given $H_0$ and $H_1$, respectively.
(b) Design a minimum cost hypothesis test.
(c) What is the average cost of the minimum cost policy?"	
MI2036E-1-2	MI2036E-1	easy	"Question 1 (2.0 points) In a particular airport, $n$ radar stations operate independently of each other. The probability that a single radar station will detect an arriving airplane is 0.65 .
(a) If six radar stations are in use $(n=6)$, calculate the probability that an arriving airplane will be detected by at most two radar stations.
(b) What is the smallest number $n$ of radar stations that must be installed if the probability that an arriving airplane will be detected by at least one radar station is not less than 0.97 ."	
MI2036E-2-2	MI2036E-2	medium	"Question 2 (2.0 points) A local fire station receives on average $\lambda$ rescue telephone calls per day. Assume that the number of these calls in a day has a Poisson distribution. The probability that the local fire station receives at least one rescue telephone call in a day is 0.527633 .
(a) Find the parameter $\lambda$.
(b) Find the probability that the local fire station will receive fewer than three rescue telephone calls over the next four days."	
MI2036E-3-2	MI2036E-3	medium	"Question 3 ( $\mathbf{3 . 0}$ points) The joint probability density function of two continuous random variables $X$ and $Y$ is given by

$$
f_{X, Y}(x, y)= \begin{cases}k x y, & \text { if } 0<x<y, 0<y<3 \\ 0, & \text { otherwise }\end{cases}
$$

(a) Find the constant $k$.
(b) Find $P(X<2, Y<1)$.
(c) Find $\widehat{x}_M(y)$, the minimum mean square error estimate of $X$ given $Y=y, 0<y<3$."	
MI2036E-4-2	MI2036E-4	hard	"Question 4 ( 3.0 points) The duration of a voice telephone call is an exponential random variable with expected value of 4 minutes. The duration of a data call is an exponential random variable with expected value of 7 minutes. The null hypothesis of a binary hypothesis test is $H_0$ ""a call is a voice call"". The alternative hypothesis is $H_1$ ""a call is a data call"". The probability of a voice call is $P\left(H_0\right)=0.8$ and the probability of a data call is $P\left(H_1\right)=0.2$. Assume that the cost of a false alarm is $C_{10}=4$ units and the cost of a miss is $C_{01}=7$ units. A binary hypothesis test measures $T$ minutes, the duration of a call. Based on the observation of $T$,
(a) What are $f_{T \mid H_0}(t)$ and $f_{T \mid H_1}(t)$, the likelihood functions of $T$ given $H_0$ and $H_1$, respectively.
(b) Design a minimum cost hypothesis test.
(c) What is the average cost of the minimum cost policy?"	
MI1046E-1-1	MI1046E-1	easy	"Q1. (1 mark) Test for the absolute convergence, conditional convergence, or divergence of the series

$$
\sum_{n=1}^{+\infty}(-1)^n \sin \frac{1}{\sqrt{2024 n-2023}}
$$"	
MI1046E-2-1	MI1046E-2	easy	"Q2. (2 marks) Given the series of functions $\sum_{n=0}^{+\infty} 3^n(2 n+1) x^n$,
a) find the domain of convergence of the series, and
b) calculate the sum of the series on its domain."	
