chapter_id	subject_id	chapter_name
MI1112-6	MI1112	Chương 6 - Giải tích I
MI1113-1	MI1113	Chương 1 - Giải tích I
MI1113-2	MI1113	Chương 2 - Giải tích I
MI1113-3	MI1113	Chương 3 - Giải tích I
MI1113-4	MI1113	Chương 4 - Giải tích I
MI1113-5	MI1113	Chương 5 - Giải tích I
MI1113-6	MI1113	Chương 6 - Giải tích I
MI1120Q-1	MI1120Q	Chương 1 - Giải tích 2
MI1120Q-2	MI1120Q	Chương 2 - Giải tích 2
MI1120Q-3	MI1120Q	Chương 3 - Giải tích 2
MI1120Q-4	MI1120Q	Chương 4 - Giải tích 2
MI1120Q-5	MI1120Q	Chương 5 - Giải tích 2
MI1120Q-6	MI1120Q	Chương 6 - Giải tích 2
MI1121-1	MI1121	Chương 1 - Giải tích 2
MI1121-2	MI1121	Chương 2 - Giải tích 2
MI1121-3	MI1121	Chương 3 - Giải tích 2
MI1121-4	MI1121	Chương 4 - Giải tích 2
MI1121-5	MI1121	Chương 5 - Giải tích 2
MI1121-6	MI1121	Chương 6 - Giải tích 2
MI1122-1	MI1122	Chương 1 - Giải tích 2
MI1122-2	MI1122	Chương 2 - Giải tích 2
MI1122-3	MI1122	Chương 3 - Giải tích 2
MI1122-4	MI1122	Chương 4 - Giải tích 2
MI1122-5	MI1122	Chương 5 - Giải tích 2
MI1122-6	MI1122	Chương 6 - Giải tích 2
MI1124-1	MI1124	Chương 1 - Giải tích 2
MI1124-2	MI1124	Chương 2 - Giải tích 2
MI1124-3	MI1124	Chương 3 - Giải tích 2
MI1124-4	MI1124	Chương 4 - Giải tích 2
MI1124-5	MI1124	Chương 5 - Giải tích 2
MI1124-6	MI1124	Chương 6 - Giải tích 2
MI1124E-1	MI1124E	Chương 1 - Calculus II
MI1124E-2	MI1124E	Chương 2 - Calculus II
MI1124E-3	MI1124E	Chương 3 - Calculus II
MI1124E-4	MI1124E	Chương 4 - Calculus II
MI1124E-5	MI1124E	Chương 5 - Calculus II
MI1124E-6	MI1124E	Chương 6 - Calculus II
MI1130Q-1	MI1130Q	Chương 1 - Giải tích III
MI1130Q-2	MI1130Q	Chương 2 - Giải tích III
MI1130Q-3	MI1130Q	Chương 3 - Giải tích III
MI1130Q-4	MI1130Q	Chương 4 - Giải tích III
MI1130Q-5	MI1130Q	Chương 5 - Giải tích III
MI1130Q-6	MI1130Q	Chương 6 - Giải tích III
MI1131-1	MI1131	Chương 1 - Giải tích III
MI1131-2	MI1131	Chương 2 - Giải tích III
MI1131-3	MI1131	Chương 3 - Giải tích III
MI1131-4	MI1131	Chương 4 - Giải tích III
MI1131-5	MI1131	Chương 5 - Giải tích III
MI1131-6	MI1131	Chương 6 - Giải tích III
MI1132-1	MI1132	Chương 1 - Giải tích III
MI1132-2	MI1132	Chương 2 - Giải tích III
MI1132-3	MI1132	Chương 3 - Giải tích III
MI1132-4	MI1132	Chương 4 - Giải tích III
MI1132-5	MI1132	Chương 5 - Giải tích III
MI1132-6	MI1132	Chương 6 - Giải tích III
MI1133-1	MI1133	Chương 1 - Giải tích III
MI1133-2	MI1133	Chương 2 - Giải tích III
MI1133-3	MI1133	Chương 3 - Giải tích III
MI1133-4	MI1133	Chương 4 - Giải tích III
MI1133-5	MI1133	Chương 5 - Giải tích III
MI1133-6	MI1133	Chương 6 - Giải tích III
MI1134-1	MI1134	Chương 1 - Phương trình vi phân và chuỗi
MI1134-2	MI1134	Chương 2 - Phương trình vi phân và chuỗi
MI1134-3	MI1134	Chương 3 - Phương trình vi phân và chuỗi
MI1134-4	MI1134	Chương 4 - Phương trình vi phân và chuỗi
MI1134-5	MI1134	Chương 5 - Phương trình vi phân và chuỗi
MI1134-6	MI1134	Chương 6 - Phương trình vi phân và chuỗi
MI1134E-1	MI1134E	Chương 1 - Differential equations and series
MI1134E-2	MI1134E	Chương 2 - Differential equations and series
MI1134E-3	MI1134E	Chương 3 - Differential equations and series
MI1134E-4	MI1134E	Chương 4 - Differential equations and series
MI1134E-5	MI1134E	Chương 5 - Differential equations and series
MI1134E-6	MI1134E	Chương 6 - Differential equations and series
MI1141-1	MI1141	Chương 1 - Đại số
MI1141-2	MI1141	Chương 2 - Đại số
MI1141-3	MI1141	Chương 3 - Đại số
MI1141-4	MI1141	Chương 4 - Đại số
MI1141-5	MI1141	Chương 5 - Đại số
MI1141-6	MI1141	Chương 6 - Đại số
MI1142-1	MI1142	Chương 1 - Đại số
MI1142-2	MI1142	Chương 2 - Đại số
MI1142-3	MI1142	Chương 3 - Đại số
MI1142-4	MI1142	Chương 4 - Đại số
MI1142-5	MI1142	Chương 5 - Đại số
MI1142-6	MI1142	Chương 6 - Đại số
MI2010-1	MI2010	Chương 1 - Phương pháp tính
MI2010-2	MI2010	Chương 2 - Phương pháp tính
MI2010-3	MI2010	Chương 3 - Phương pháp tính
MI2010-4	MI2010	Chương 4 - Phương pháp tính
MI2010-5	MI2010	Chương 5 - Phương pháp tính
MI2010-6	MI2010	Chương 6 - Phương pháp tính
MI2020-1	MI2020	Chương 1 - Xác suất thống kê
MI2020-2	MI2020	Chương 2 - Xác suất thống kê
MI2020-3	MI2020	Chương 3 - Xác suất thống kê
MI2020-4	MI2020	Chương 4 - Xác suất thống kê
MI2020-5	MI2020	Chương 5 - Xác suất thống kê
MI2020-6	MI2020	Chương 6 - Xác suất thống kê
MI2020E-1	MI2020E	Chương 1 - Probability and statistics
MI2020E-2	MI2020E	Chương 2 - Probability and statistics
MI2020E-3	MI2020E	Chương 3 - Probability and statistics
MI2020E-4	MI2020E	Chương 4 - Probability and statistics
MI2020E-5	MI2020E	Chương 5 - Probability and statistics
MI2020E-6	MI2020E	Chương 6 - Probability and statistics
MI2021-1	MI2021	Chương 1 - Xác suất thống kê
MI2021-2	MI2021	Chương 2 - Xác suất thống kê
MI2021-3	MI2021	Chương 3 - Xác suất thống kê
MI2021-4	MI2021	Chương 4 - Xác suất thống kê
MI2021-5	MI2021	Chương 5 - Xác suất thống kê
MI2021-6	MI2021	Chương 6 - Xác suất thống kê
MI2023E-1	MI2023E	Chương 1 - Xác suất thống kê
MI2023E-2	MI2023E	Chương 2 - Xác suất thống kê
MI2023E-3	MI2023E	Chương 3 - Xác suất thống kê
MI2023E-4	MI2023E	Chương 4 - Xác suất thống kê
MI2023E-5	MI2023E	Chương 5 - Xác suất thống kê
MI2023E-6	MI2023E	Chương 6 - Xác suất thống kê
MI2026-1	MI2026	Chương 1 - Xác suất thống kê
MI2026-2	MI2026	Chương 2 - Xác suất thống kê
MI2026-3	MI2026	Chương 3 - Xác suất thống kê
MI2026-4	MI2026	Chương 4 - Xác suất thống kê
MI2026-5	MI2026	Chương 5 - Xác suất thống kê
MI2026-6	MI2026	Chương 6 - Xác suất thống kê
MI2026E-1	MI2026E	Chương 1 - Probability and statistics
MI2026E-2	MI2026E	Chương 2 - Probability and statistics
MI2026E-3	MI2026E	Chương 3 - Probability and statistics
MI2026E-4	MI2026E	Chương 4 - Probability and statistics
MI2026E-5	MI2026E	Chương 5 - Probability and statistics
MI2026E-6	MI2026E	Chương 6 - Probability and statistics
MI2034-1	MI2034	Chương 1 - Xác suất thống kê
MI2034-2	MI2034	Chương 2 - Xác suất thống kê
MI2034-3	MI2034	Chương 3 - Xác suất thống kê
MI2034-4	MI2034	Chương 4 - Xác suất thống kê
MI2034-5	MI2034	Chương 5 - Xác suất thống kê
MI2034-6	MI2034	Chương 6 - Xác suất thống kê
MI2036E-1	MI2036E	Chương 1 - Probability statistics and Random signal processes
MI2036E-2	MI2036E	Chương 2 - Probability statistics and Random signal processes
MI2036E-3	MI2036E	Chương 3 - Probability statistics and Random signal processes
MI2036E-4	MI2036E	Chương 4 - Probability statistics and Random signal processes
MI2036E-5	MI2036E	Chương 5 - Probability statistics and Random signal processes
MI2036E-6	MI2036E	Chương 6 - Probability statistics and Random signal processes
MI2110-1	MI2110	Chương 1 - Phương pháp tính và Matlab
MI2110-2	MI2110	Chương 2 - Phương pháp tính và Matlab
MI2110-3	MI2110	Chương 3 - Phương pháp tính và Matlab
MI2110-4	MI2110	Chương 4 - Phương pháp tính và Matlab
MI2110-5	MI2110	Chương 5 - Phương pháp tính và Matlab
MI2110-6	MI2110	Chương 6 - Phương pháp tính và Matlab
MI3180-1	MI3180	Chương 1 - Xác suất thống kê và quy hoạch thực nghiệm
MI3180-2	MI3180	Chương 2 - Xác suất thống kê và quy hoạch thực nghiệm
MI3180-3	MI3180	Chương 3 - Xác suất thống kê và quy hoạch thực nghiệm
MI3180-4	MI3180	Chương 4 - Xác suất thống kê và quy hoạch thực nghiệm
MI3180-5	MI3180	Chương 5 - Xác suất thống kê và quy hoạch thực nghiệm
MI3180-6	MI3180	Chương 6 - Xác suất thống kê và quy hoạch thực nghiệm
